('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.26', ' Timestamp: ', '18/05/2023 22:45:33')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.20', ' Timestamp: ', '18/05/2023 22:45:34')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.24', ' Timestamp: ', '18/05/2023 22:45:35')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.19', ' Timestamp: ', '18/05/2023 22:45:35')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.24', ' Timestamp: ', '18/05/2023 22:45:36')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.22', ' Timestamp: ', '18/05/2023 22:45:37')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.23', ' Timestamp: ', '18/05/2023 22:45:38')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.22', ' Timestamp: ', '18/05/2023 22:45:38')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.22', ' Timestamp: ', '18/05/2023 22:45:39')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.22', ' Timestamp: ', '18/05/2023 22:45:40')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.21', ' Timestamp: ', '18/05/2023 22:45:41')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.22', ' Timestamp: ', '18/05/2023 22:45:41')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.22', ' Timestamp: ', '18/05/2023 22:45:42')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.23', ' Timestamp: ', '18/05/2023 22:45:43')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.24', ' Timestamp: ', '18/05/2023 22:45:44')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.20', ' Timestamp: ', '18/05/2023 22:45:45')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.21', ' Timestamp: ', '18/05/2023 22:45:45')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.22', ' Timestamp: ', '18/05/2023 22:45:46')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.21', ' Timestamp: ', '18/05/2023 22:45:47')
